str,vi_VN,en_US
work.remindInAdvance,Nhắc hẹn trước,Remind in advance
work.remindAt,Nhắc hẹn vào lúc,Reminder at
work.hm,(Giờ:Phút),(hh:mm)
work.addRemind,Thêm nhắc hẹn,Add reminder
work.reminderTime,Thời gian nhắc hẹn,Reminder time
work.limitOption,Chỉ được chọn tối đa {} lịch hẹn!,You can only select up to {} appointments!
work.addOption,Thêm tùy chọn,Add option
realEstate.owner,Chủ sở hữu,Owner
realEstate.interested,Đang quan tâm,Interested
realEstate.noProject,Chưa có dự án nào có bảng hàng,There are no projects with product tables yet
organization.add,Tạo mới tổ chức,Create a new organization
organization.enterName,Nhập tên tổ chức,Enter organization name
organization.fieldOfActivity,Lĩnh vực hoạt động,Field of activity
organization.representative,Người đại diện,Representative 
organization.businessLicense,Giấy phép kinh doanh,Business license
organization.enterInformation,Nhập thông tin,Enter information
organization.nameRequired,Tên tổ chức là bắt buộc!,Organization name is required!
organization.representativeNameRequired,Tên người đại diện là bắt buộc!,Representative name is required!
organization.createSuccess,Tạo mới tổ chức thành công!,Organization created successfully!
organization.createdByMe,Tạo bởi tôi,Created by me
organization.participating,Đang tham gia,Participating
organization.pendingApprovalGroup,Nhóm chờ duyệt,Pending approval group
organization.pendingConfirmation,Chờ xác nhận,Pending confirmation
organization.noInformation,Chưa có thông tin tổ chức!,No organization information available!
organization.groupsAndMembers,{} nhóm - {} thành viên,{} groups - {} members
organization.group,Nhóm ,Group 
organization.groupRequestedToJoin, đã đề xuất tham gia vào tổ chức , has requested to join organization 
organization.requestToJoinForGroup,Bạn đã đề xuất tham gia tổ chức , You have requested to join the organization 
organization.for, cho nhóm ,for 
organization.information,Thông tin tổ chức,Organization information
organization.notVerified,Chưa được xác thực,Not verified
organization.groupUnderOrganization,Nhóm thuộc tổ chức ({}),Group under organization ({})
organization.code,Mã tổ chức,Organization code
organization.verifiedByMeeyCRM,Đã được xác thực bởi Meey CRM,Verified by Meey CRM
organization.confirmRemoveGroup1,Bạn có chắc chắn muốn gỡ nhóm ,Are you sure you want to remove 
organization.confirmRemoveGroup2, khỏi tổ chức , from the organization 
organization.removeGroup,Gỡ nhóm khỏi tổ chức, Remove group from organization
organization.remove,Gỡ,Remove
organization.delete,Xóa tổ chức,Delete organization
organization.confirmDelete,Bạn có chắc chắn muốn xóa tổ chức  ,Are you sure you want to delete the organization
organization.removeGroupSuccess,Gỡ nhóm khỏi tổ chức thành công!,Group removed from organization successfully!
organization.notGroupMember,Bạn không phải là thành viên của nhóm này!,You are not a member of this group!
organization.cannotEdit,Bạn không thể chỉnh sửa tổ chức vào lúc này!,You cannot edit the organization at this time!
organization.deleteSuccess,Xoá tổ chức {} thành công!,Organization {} deleted successfully!
organization.resubmitJoinRequestSuccess,Gửi lại yêu cầu đề xuất tham gia tổ chức thành công!,Resubmitting request to join organization successfully!
organization.cancelJoinRequestSuccess,Huỷ yêu cầu tham gia tổ chức thành công!,Cancel request to join organization successfully!
organization.approveGroupJoinSuccess,Duyệt nhóm tham gia tổ chức thành công!,Approve group to join organization successfully!
organization.declineJoinRequestSuccess,Từ chối yêu cầu tham gia tổ chức thành công!,Decline request to join organization successfully!
organization.noJoinRequests,Chưa có đề xuất nào tham gia tổ chức của bạn,No requests to join your organization
organization.noJoinRequestsForYou,Bạn chưa có đề xuất tham gia tổ chức nào,You have no requests to join any organization
organization.notGroupMember,Bạn không phải là thành viên của nhóm này!,You are not a member of this group!
organization.enterOrSearchAddress,Nhập hoặc tìm kiếm địa chỉ,Enter or search for address
organization.searchByNameOrCode,Tìm kiếm theo tên hoặc mã tổ chức,Search by organization name or code
organization.edit,Sửa tổ chức,Edit organization
filed.unavailablePleaseTryAgain,"Hệ thống đang gián đoạn, xin vui lòng thử lại sau!"," The system is temporarily unavailable, please try again later!"
filed.root_number,Căn số,Root number
realEstate.createNewProperties,Tạo mới bất động sản,Create new properties
realEstate.propertyInfoHave,Các thông tin của bất động sản gồm: ,The property details include: 
realEstate.projectDetail ,"Dự án, tên bảng hàng, địa chỉ, khu, tòa/ block, vị trí tầng, số thứ tự căn","Project, Product name, Address, Zone, Block, Floor position, Apartment number"
realEstate.selectDirection,Chọn hướng,Select direction
realEstate.enterArea,Nhập diện tích,Enter area
realEstate.updatePropertyLocation, sẽ được thay đổi theo bảng hàng này. Vui lòng cập nhật các trường thông tin sau để xác định vị trí của bất động sản trên bảng hàng, it will be updated according to this product list. Please update the following fields to determine the property location on the product list
realEstate.duplicateLocaltion,Trùng lặp vị trí bất động sản,Duplicate real estate location
realEstate.duplicateLocaltionDes,"Đã tồm tại 1 bất động sản thuộc vị trí này trên bảng hàng. Để tránh trùng lặp, vui lòng kiểm tra lại các trường thông tin:","A real estate property with this location already exists in the listing. To avoid duplication, please double-check the information fields."
realEstate.duplicateLocaltionDes2,"Số thứ tự căn, vị trí tầng","Unit number, floor position"
realEstate.attachment,Tệp đính kèm,Attachment 
realEstate.attachLink,Gắn link,Attach link
realEstate.attachMediaLinks,"Gắn link Google Drive, video 3D, 360, Youtube,...","Attach links for Google Drive, 3D video, 360, YouTube, etc."
realEstate.fileSizeExceedsLimit,File có dung lượng vượt quá 50MB sẽ không được tải lên!,Files larger than 50MB cannot be uploaded!
realEstate.maxUploadLimit,Số lượng tải lên tối đa là 50 file!,The maximum upload limit is 50 files!
realEstate.salesStage,Giai đoạn bán hàng,Sales stage
realEstate.stage,Giai đoạn,Stage 
realEstate.enterStageName,Nhập tên giai đoạn, Enter stage name
realEstate.endDateAfterCurrent,Ngày kết thúc phải lớn hơn ngày hiện tại!,The end date must be later than the current date!
realEstate.inventorySource,Nguồn hàng,Inventory source
realEstate.enterInventorySourceName,Nhập tên nguồn hàng,Enter inventory source name
realEstate.shareInMeeyCRM,Chia sẻ trong Meey CRM,Share in Meey CRM
realEstate.shareToOtherPlatforms,Chia sẻ lên các nền tảng khác,Share to other platforms
realEstate.manageAccessPermissions,Quản lý quyền truy cập,Manage access permissions
realEstate.sharingHistory,Lịch sử chia sẻ,Sharing history
realEstate.copyLink,Sao chép liên kết,Sao chép liên kết
realEstate.shareProperty,Chia sẻ bất động sản,Share real estate
realEstate.addShareContacts,"Thêm SĐT, Email tài khoản hoặc Tên nhóm cần chia sẻ","Add phone number, account email, or group name to share"
realEstate.viewOnly,Chỉ xem,View only
realEstate.viewAndShare,Xem và chia sẻ,View and share
realEstate.combine,Vai trò kết hợp,Combine 
realEstate.noSharePermission,Bạn không có quyền chia sẻ bất động sản này,You do not have permission to share this property
realEstate.restricted,Hạn chế,Restricted
realEstate.searchContactOrGroup,"Tìm kiếm SĐT, email hoặc tên nhóm","Search phone number, email, or group name"
realEstate.joinedGroups,Nhóm đã tham gia,Joined group
realEstate.meeyIDAccount,Tài khoản Meey ID,Meey ID account
realEstate.whoHasAccess,Ai được truy cập,Who has access
realEstate.whatInformationAccessed,Truy cập thông tin gì,What information is accessed
realEstate.anyoneWithLinkCanAccess,Bất kỳ ai kết nối internet có liên kết đều có thể truy cập,Anyone with the link can access
realEstate.restrictedAccessOnly,Chỉ những tài khoản hoặc thành viên thuộc nhóm có quyền truy cập mới có thể mở liên kết,Only accounts or group members with access permissions can open the link
realEstate.sharedByMe,Được tôi chia sẻ,Shared by me
realEstate.sharedByOthers,Người khác chia sẻ,Shared by others
realEstate.accountsOrGroupsWithAccess,Tài khoản/ Nhóm có quyền truy cập,Accounts/Groups with access
realEstate.generalAccessPermissions,Quyền truy cập chung,General access permissions
realEstate.protectSensitiveInfo,Hệ thống sẽ luôn chủ động bảo mật các thông tin nhạy cảm của chủ nhà,The system will always proactively protect the homeowner's sensitive information
realEstate.deselectHiddenInfo,Bỏ chọn thông tin bạn không muốn hiển thị,Deselect the information you do not want to display
realEstate.removeAccess,Xoá quyền truy cập, Remove access
realEstate.propertyDescription,Thông tin mô tả bất động sản,Real estate description information
realEstate.locateOnMap,Định vị vị trí trên bản đồ,Locate position on the map
realEstate.priceInfoDisplay,Thông tin giá (Không chia sẻ thì sẽ hiển thị giá ,"Price information (If not shared, the price will be displayed as "
realEstate.propertyPhotos,Ảnh bất động sản, Real estate photos
realEstate.propertiesWithDifferentAccess,{} bất động sản với quyền truy cập khác nhau,{} properties with different access permissions
realEstate.role,Vai trò,Role
realEstate.accessPermissions,Quyền truy cập,Access permissions
realEstate.setAccessInformation,Cài đặt thông tin truy cập,Set access information
realEstate.addContentToRecipient,Thêm nội dung đến người nhận,Add content to the recipient
realEstate.sharePropertyInfo,Chia sẻ thông tin bất động sản,Share real estate information
realEstate.limitedSharePermission,Bạn chỉ có quyền chia sẻ {} bất động sản. Có {} bất động sản không có quyền chia sẻ,You only have permission to share {} properties. {} properties cannot be shared
realEstate.dataSharedWithMe,Dữ liệu được chia sẻ với tôi,Data shared with me
realEstate.sharedWithMe,Được chia sẻ với tôi,Shared with me
realEstate.searchSenderOrProperty,"Tìm tên người gửi, mã, tiêu đề BĐS","Search sender name, code, or property title"
realEstate.property,Bất động sản,Real estate
realEstate.sharedRepository,Kho chia sẻ,Shared repository
realEstate.sharedWithGroup,Được chia sẻ với nhóm,Shared with group
realEstate.propertyStatus,Trạng thái BĐS,Property status
